광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,2435293.0,5.7,456134.0,11.1
강원특별자치도,원주시,2435293.0,5.7,544268.0,13.2
강원특별자치도,강릉시,2435293.0,5.7,490581.0,11.9
강원특별자치도,동해시,2435293.0,5.7,196178.0,4.8
강원특별자치도,태백시,2435293.0,5.7,96814.0,2.3
강원특별자치도,속초시,2435293.0,5.7,329536.0,8.0
강원특별자치도,삼척시,2435293.0,5.7,208166.0,5.1
강원특별자치도,홍천군,2435293.0,5.7,263862.0,6.4
강원특별자치도,횡성군,2435293.0,5.7,186018.0,4.5
강원특별자치도,영월군,2435293.0,5.7,131996.0,3.2
강원특별자치도,평창군,2435293.0,5.7,251909.0,6.1
강원특별자치도,정선군,2435293.0,5.7,149856.0,3.6
강원특별자치도,철원군,2435293.0,5.7,140130.0,3.4
강원특별자치도,화천군,2435293.0,5.7,68170.0,1.7
강원특별자치도,양구군,2435293.0,5.7,48370.0,1.2
강원특별자치도,인제군,2435293.0,5.7,142772.0,3.5
강원특별자치도,고성군,2435293.0,5.7,199714.0,4.8
강원특별자치도,양양군,2435293.0,5.7,215880.0,5.2
경기도,수원시,7836804.0,18.4,1669588.0,8.1
경기도,성남시,7836804.0,18.4,1298854.0,6.3
경기도,의정부시,7836804.0,18.4,581634.0,2.8
경기도,안양시,7836804.0,18.4,662742.0,3.2
경기도,부천시,7836804.0,18.4,804352.0,3.9
경기도,광명시,7836804.0,18.4,406458.0,2.0
경기도,평택시,7836804.0,18.4,648616.0,3.1
경기도,동두천시,7836804.0,18.4,151249.0,0.7
경기도,안산시,7836804.0,18.4,879764.0,4.3
경기도,고양시,7836804.0,18.4,1495375.0,7.3
경기도,과천시,7836804.0,18.4,171546.0,0.8
경기도,구리시,7836804.0,18.4,487988.0,2.4
경기도,남양주시,7836804.0,18.4,989793.0,4.8
경기도,오산시,7836804.0,18.4,304437.0,1.5
경기도,시흥시,7836804.0,18.4,636934.0,3.1
경기도,군포시,7836804.0,18.4,289968.0,1.4
경기도,의왕시,7836804.0,18.4,321986.0,1.6
경기도,하남시,7836804.0,18.4,671212.0,3.3
경기도,용인시,7836804.0,18.4,1595240.0,7.7
경기도,파주시,7836804.0,18.4,707088.0,3.4
경기도,이천시,7836804.0,18.4,534436.0,2.6
경기도,안성시,7836804.0,18.4,505978.0,2.5
경기도,김포시,7836804.0,18.4,609094.0,3.0
경기도,화성시,7836804.0,18.4,1191852.0,5.8
경기도,광주시,7836804.0,18.4,703342.0,3.4
경기도,양주시,7836804.0,18.4,466644.0,2.3
경기도,포천시,7836804.0,18.4,424946.0,2.1
경기도,여주시,7836804.0,18.4,408964.0,2.0
경기도,연천군,7836804.0,18.4,162998.0,0.8
경기도,가평군,7836804.0,18.4,359776.0,1.7
경기도,양평군,7836804.0,18.4,478698.0,2.3
경상남도,창원시,2874714.0,6.8,1479604.0,25.3
경상남도,진주시,2874714.0,6.8,393652.0,6.7
경상남도,통영시,2874714.0,6.8,274792.0,4.7
경상남도,사천시,2874714.0,6.8,252847.0,4.3
경상남도,김해시,2874714.0,6.8,597618.0,10.2
경상남도,밀양시,2874714.0,6.8,282254.0,4.8
경상남도,거제시,2874714.0,6.8,374983.0,6.4
경상남도,양산시,2874714.0,6.8,495156.0,8.5
경상남도,의령군,2874714.0,6.8,104461.0,1.8
경상남도,함안군,2874714.0,6.8,190659.0,3.3
경상남도,창녕군,2874714.0,6.8,195153.0,3.3
경상남도,고성군,2874714.0,6.8,201008.0,3.4
경상남도,남해군,2874714.0,6.8,185129.0,3.2
경상남도,하동군,2874714.0,6.8,165014.0,2.8
경상남도,산청군,2874714.0,6.8,163902.0,2.8
경상남도,함양군,2874714.0,6.8,152386.0,2.6
경상남도,거창군,2874714.0,6.8,159680.0,2.7
경상남도,합천군,2874714.0,6.8,173117.0,3.0
경상북도,포항시,3711316.0,8.7,752392.0,12.3
경상북도,경주시,3711316.0,8.7,766787.0,12.5
경상북도,김천시,3711316.0,8.7,260722.0,4.3
경상북도,안동시,3711316.0,8.7,383064.0,6.3
경상북도,구미시,3711316.0,8.7,395661.0,6.5
경상북도,영주시,3711316.0,8.7,221714.0,3.6
경상북도,영천시,3711316.0,8.7,319515.0,5.2
경상북도,상주시,3711316.0,8.7,334148.0,5.5
경상북도,문경시,3711316.0,8.7,326802.0,5.3
경상북도,경산시,3711316.0,8.7,446362.0,7.3
경상북도,의성군,3711316.0,8.7,206986.0,3.4
경상북도,청송군,3711316.0,8.7,118674.0,1.9
경상북도,영양군,3711316.0,8.7,59437.0,1.0
경상북도,영덕군,3711316.0,8.7,211446.0,3.5
경상북도,청도군,3711316.0,8.7,191065.0,3.1
경상북도,고령군,3711316.0,8.7,112994.0,1.8
경상북도,성주군,3711316.0,8.7,177429.0,2.9
경상북도,칠곡군,3711316.0,8.7,369792.0,6.0
경상북도,예천군,3711316.0,8.7,166537.0,2.7
경상북도,봉화군,3711316.0,8.7,117302.0,1.9
경상북도,울진군,3711316.0,8.7,162463.0,2.7
경상북도,울릉군,3711316.0,8.7,22071.0,0.4
광주광역시,동구,1022158.0,2.4,327901.0,14.0
광주광역시,서구,1022158.0,2.4,550648.0,23.5
광주광역시,남구,1022158.0,2.4,292362.0,12.5
광주광역시,북구,1022158.0,2.4,631519.0,27.0
광주광역시,광산구,1022158.0,2.4,537792.0,23.0
대구광역시,중구,1673287.0,3.9,530425.0,11.9
대구광역시,동구,1673287.0,3.9,741384.0,16.6
대구광역시,서구,1673287.0,3.9,295138.0,6.6
대구광역시,남구,1673287.0,3.9,325294.0,7.3
대구광역시,북구,1673287.0,3.9,643674.0,14.5
대구광역시,수성구,1673287.0,3.9,573604.0,12.9
대구광역시,달서구,1673287.0,3.9,716807.0,16.1
대구광역시,달성군,1673287.0,3.9,423658.0,9.5
대구광역시,군위군,1673287.0,3.9,204102.0,4.6
대전광역시,동구,1110893.0,2.6,499779.0,19.8
대전광역시,중구,1110893.0,2.6,486437.0,19.3
대전광역시,서구,1110893.0,2.6,633185.0,25.1
대전광역시,유성구,1110893.0,2.6,583730.0,23.1
대전광역시,대덕구,1110893.0,2.6,321080.0,12.7
부산광역시,중구,2225776.0,5.2,381101.0,5.7
부산광역시,서구,2225776.0,5.2,246995.0,3.7
부산광역시,동구,2225776.0,5.2,324478.0,4.8
부산광역시,영도구,2225776.0,5.2,260208.0,3.9
부산광역시,부산진구,2225776.0,5.2,725515.0,10.8
부산광역시,동래구,2225776.0,5.2,451556.0,6.7
부산광역시,남구,2225776.0,5.2,372281.0,5.5
부산광역시,북구,2225776.0,5.2,354462.0,5.3
부산광역시,해운대구,2225776.0,5.2,705733.0,10.5
부산광역시,사하구,2225776.0,5.2,362338.0,5.4
부산광역시,금정구,2225776.0,5.2,422698.0,6.3
부산광역시,강서구,2225776.0,5.2,449946.0,6.7
부산광역시,연제구,2225776.0,5.2,368084.0,5.5
부산광역시,수영구,2225776.0,5.2,431616.0,6.4
부산광역시,사상구,2225776.0,5.2,350262.0,5.2
부산광역시,기장군,2225776.0,5.2,503643.0,7.5
서울특별시,종로구,5684728.0,13.4,1071679.0,6.2
서울특별시,중구,5684728.0,13.4,971702.0,5.6
서울특별시,용산구,5684728.0,13.4,841004.0,4.9
서울특별시,성동구,5684728.0,13.4,519393.0,3.0
서울특별시,광진구,5684728.0,13.4,652466.0,3.8
서울특별시,동대문구,5684728.0,13.4,554214.0,3.2
서울특별시,중랑구,5684728.0,13.4,452578.0,2.6
서울특별시,성북구,5684728.0,13.4,570300.0,3.3
서울특별시,강북구,5684728.0,13.4,412268.0,2.4
서울특별시,도봉구,5684728.0,13.4,394723.0,2.3
서울특별시,노원구,5684728.0,13.4,704270.0,4.1
서울특별시,은평구,5684728.0,13.4,459886.0,2.7
서울특별시,서대문구,5684728.0,13.4,645603.0,3.7
서울특별시,마포구,5684728.0,13.4,938074.0,5.4
서울특별시,양천구,5684728.0,13.4,409364.0,2.4
서울특별시,강서구,5684728.0,13.4,796240.0,4.6
서울특별시,구로구,5684728.0,13.4,599588.0,3.5
서울특별시,금천구,5684728.0,13.4,279979.0,1.6
서울특별시,영등포구,5684728.0,13.4,895587.0,5.2
서울특별시,동작구,5684728.0,13.4,591062.0,3.4
서울특별시,관악구,5684728.0,13.4,564382.0,3.3
서울특별시,서초구,5684728.0,13.4,1107796.0,6.4
서울특별시,강남구,5684728.0,13.4,1296008.0,7.5
서울특별시,송파구,5684728.0,13.4,1038992.0,6.0
서울특별시,강동구,5684728.0,13.4,501546.0,2.9
세종특별자치시,세종특별자치시,360230.0,0.8,410179.0,100.0
울산광역시,중구,707707.0,1.7,287732.0,17.3
울산광역시,남구,707707.0,1.7,451206.0,27.2
울산광역시,동구,707707.0,1.7,181517.0,10.9
울산광역시,북구,707707.0,1.7,278786.0,16.8
울산광역시,울주군,707707.0,1.7,462284.0,27.8
인천광역시,중구,2366147.0,5.6,1054966.0,22.3
인천광역시,동구,2366147.0,5.6,108182.0,2.3
인천광역시,미추홀구,2366147.0,5.6,523254.0,11.1
인천광역시,연수구,2366147.0,5.6,490854.0,10.4
인천광역시,남동구,2366147.0,5.6,615986.0,13.0
인천광역시,부평구,2366147.0,5.6,590989.0,12.5
인천광역시,계양구,2366147.0,5.6,331520.0,7.0
인천광역시,서구,2366147.0,5.6,616798.0,13.0
인천광역시,강화군,2366147.0,5.6,296026.0,6.3
인천광역시,옹진군,2366147.0,5.6,104986.0,2.2
전라남도,목포시,2769179.0,6.5,403970.0,8.7
전라남도,여수시,2769179.0,6.5,437504.0,9.4
전라남도,순천시,2769179.0,6.5,445410.0,9.6
전라남도,나주시,2769179.0,6.5,274872.0,5.9
전라남도,광양시,2769179.0,6.5,189220.0,4.1
전라남도,담양군,2769179.0,6.5,262948.0,5.7
전라남도,곡성군,2769179.0,6.5,118884.0,2.6
전라남도,구례군,2769179.0,6.5,112640.0,2.4
전라남도,고흥군,2769179.0,6.5,208674.0,4.5
전라남도,보성군,2769179.0,6.5,174629.0,3.8
전라남도,화순군,2769179.0,6.5,208422.0,4.5
전라남도,장흥군,2769179.0,6.5,131814.0,2.8
전라남도,강진군,2769179.0,6.5,126336.0,2.7
전라남도,해남군,2769179.0,6.5,218288.0,4.7
전라남도,영암군,2769179.0,6.5,175847.0,3.8
전라남도,무안군,2769179.0,6.5,250208.0,5.4
전라남도,함평군,2769179.0,6.5,133140.0,2.9
전라남도,영광군,2769179.0,6.5,168693.0,3.6
전라남도,장성군,2769179.0,6.5,187772.0,4.0
전라남도,완도군,2769179.0,6.5,157392.0,3.4
전라남도,진도군,2769179.0,6.5,110992.0,2.4
전라남도,신안군,2769179.0,6.5,150108.0,3.2
전북특별자치도,전주시,2085108.0,4.9,912454.0,22.7
전북특별자치도,군산시,2085108.0,4.9,430910.0,10.7
전북특별자치도,익산시,2085108.0,4.9,444122.0,11.1
전북특별자치도,정읍시,2085108.0,4.9,257904.0,6.4
전북특별자치도,남원시,2085108.0,4.9,221084.0,5.5
전북특별자치도,김제시,2085108.0,4.9,246978.0,6.2
전북특별자치도,완주군,2085108.0,4.9,357238.0,8.9
전북특별자치도,진안군,2085108.0,4.9,113978.0,2.8
전북특별자치도,무주군,2085108.0,4.9,164360.0,4.1
전북특별자치도,장수군,2085108.0,4.9,91298.0,2.3
전북특별자치도,임실군,2085108.0,4.9,222257.0,5.5
전북특별자치도,순창군,2085108.0,4.9,107625.0,2.7
전북특별자치도,고창군,2085108.0,4.9,210262.0,5.2
전북특별자치도,부안군,2085108.0,4.9,232316.0,5.8
제주특별자치도,제주시,600719.0,1.4,595214.0,55.2
제주특별자치도,서귀포시,600719.0,1.4,482671.0,44.8
충청남도,천안시,3026146.0,7.1,916678.0,18.7
충청남도,공주시,3026146.0,7.1,436464.0,8.9
충청남도,보령시,3026146.0,7.1,320688.0,6.5
충청남도,아산시,3026146.0,7.1,487424.0,10.0
충청남도,서산시,3026146.0,7.1,300912.0,6.1
충청남도,논산시,3026146.0,7.1,327408.0,6.7
충청남도,계룡시,3026146.0,7.1,67144.0,1.4
충청남도,당진시,3026146.0,7.1,384125.0,7.8
충청남도,금산군,3026146.0,7.1,215456.0,4.4
충청남도,부여군,3026146.0,7.1,259644.0,5.3
충청남도,서천군,3026146.0,7.1,253144.0,5.2
충청남도,청양군,3026146.0,7.1,110926.0,2.3
충청남도,홍성군,3026146.0,7.1,221344.0,4.5
충청남도,예산군,3026146.0,7.1,271730.0,5.5
충청남도,태안군,3026146.0,7.1,323134.0,6.6
충청북도,청주시,2012703.0,4.7,1305238.0,35.9
충청북도,충주시,2012703.0,4.7,489562.0,13.5
충청북도,제천시,2012703.0,4.7,278898.0,7.7
충청북도,보은군,2012703.0,4.7,152954.0,4.2
충청북도,옥천군,2012703.0,4.7,204544.0,5.6
충청북도,영동군,2012703.0,4.7,137028.0,3.8
충청북도,증평군,2012703.0,4.7,83682.0,2.3
충청북도,진천군,2012703.0,4.7,175301.0,4.8
충청북도,괴산군,2012703.0,4.7,281036.0,7.7
충청북도,음성군,2012703.0,4.7,285078.0,7.8
충청북도,단양군,2012703.0,4.7,243806.0,6.7
