광역지자체명,기초지자체명,2024 기초지자체 방문자 수
강원특별자치도,춘천시,3.00E+07
강원특별자치도,원주시,3.38E+07
강원특별자치도,강릉시,3.32E+07
강원특별자치도,동해시,1.15E+07
강원특별자치도,태백시,5337983
강원특별자치도,속초시,2.48E+07
강원특별자치도,삼척시,1.19E+07
강원특별자치도,홍천군,2.05E+07
강원특별자치도,횡성군,1.12E+07
강원특별자치도,영월군,7062472
강원특별자치도,평창군,1.73E+07
강원특별자치도,정선군,9916344
강원특별자치도,철원군,6907901
강원특별자치도,화천군,4288592
강원특별자치도,양구군,2935331
강원특별자치도,인제군,8839316
강원특별자치도,고성군,1.22E+07
강원특별자치도,양양군,1.52E+07
경기도,수원시,1.87E+08
경기도,성남시,1.45E+08
경기도,의정부시,4.18E+07
경기도,안양시,6.77E+07
경기도,부천시,1.02E+08
경기도,광명시,3.97E+07
경기도,평택시,4.80E+07
경기도,동두천시,1.01E+07
경기도,안산시,7.67E+07
경기도,고양시,1.41E+08
경기도,과천시,2.09E+07
경기도,구리시,4.56E+07
경기도,남양주시,6.98E+07
경기도,오산시,2.98E+07
경기도,시흥시,5.44E+07
경기도,군포시,2.54E+07
경기도,의왕시,2.97E+07
경기도,하남시,5.46E+07
경기도,용인시,1.36E+08
경기도,파주시,5.12E+07
경기도,이천시,3.56E+07
경기도,안성시,3.45E+07
경기도,김포시,5.03E+07
경기도,화성시,9.82E+07
경기도,광주시,4.66E+07
경기도,양주시,3.43E+07
경기도,포천시,2.76E+07
경기도,여주시,2.41E+07
경기도,연천군,9304900
경기도,가평군,2.60E+07
경기도,양평군,2.90E+07
경상남도,창원시,1.12E+08
경상남도,진주시,2.24E+07
경상남도,통영시,1.55E+07
경상남도,사천시,1.49E+07
경상남도,김해시,4.43E+07
경상남도,밀양시,1.52E+07
경상남도,거제시,2.25E+07
경상남도,양산시,3.52E+07
경상남도,의령군,4518941
경상남도,함안군,1.09E+07
경상남도,창녕군,9870903
경상남도,고성군,1.07E+07
경상남도,남해군,8389745
경상남도,하동군,7841480
경상남도,산청군,7476192
경상남도,함양군,7568953
경상남도,거창군,6609036
경상남도,합천군,6801081
경상북도,포항시,5.46E+07
경상북도,경주시,4.71E+07
경상북도,김천시,1.48E+07
경상북도,안동시,1.72E+07
경상북도,구미시,2.67E+07
경상북도,영주시,9143516
경상북도,영천시,1.32E+07
경상북도,상주시,1.37E+07
경상북도,문경시,1.11E+07
경상북도,경산시,2.97E+07
경상북도,의성군,7034216
경상북도,청송군,4938196
경상북도,영양군,1749542
경상북도,영덕군,1.01E+07
경상북도,청도군,1.04E+07
경상북도,고령군,6223000
경상북도,성주군,7492908
경상북도,칠곡군,2.24E+07
경상북도,예천군,6830548
경상북도,봉화군,4612346
경상북도,울진군,8011717
경상북도,울릉군,1640919
광주광역시,동구,3.30E+07
광주광역시,서구,5.25E+07
광주광역시,남구,2.04E+07
광주광역시,북구,4.84E+07
광주광역시,광산구,4.74E+07
대구광역시,중구,6.58E+07
대구광역시,동구,6.29E+07
대구광역시,서구,2.11E+07
대구광역시,남구,2.67E+07
대구광역시,북구,5.15E+07
대구광역시,수성구,5.00E+07
대구광역시,달서구,5.52E+07
대구광역시,달성군,3.01E+07
대구광역시,군위군,8138648
대전광역시,동구,4.17E+07
대전광역시,중구,4.50E+07
대전광역시,서구,6.25E+07
대전광역시,유성구,6.09E+07
대전광역시,대덕구,2.70E+07
부산광역시,중구,3.98E+07
부산광역시,서구,2.06E+07
부산광역시,동구,3.64E+07
부산광역시,영도구,1.84E+07
부산광역시,부산진구,7.15E+07
부산광역시,동래구,3.89E+07
부산광역시,남구,3.07E+07
부산광역시,북구,2.42E+07
부산광역시,해운대구,6.83E+07
부산광역시,사하구,2.40E+07
부산광역시,금정구,2.98E+07
부산광역시,강서구,4.11E+07
부산광역시,연제구,3.13E+07
부산광역시,수영구,3.82E+07
부산광역시,사상구,2.85E+07
부산광역시,기장군,4.06E+07
서울특별시,종로구,1.38E+08
서울특별시,중구,1.47E+08
서울특별시,용산구,1.04E+08
서울특별시,성동구,6.56E+07
서울특별시,광진구,7.14E+07
서울특별시,동대문구,5.66E+07
서울특별시,중랑구,3.65E+07
서울특별시,성북구,5.19E+07
서울특별시,강북구,3.33E+07
서울특별시,도봉구,3.22E+07
서울특별시,노원구,5.90E+07
서울특별시,은평구,3.62E+07
서울특별시,서대문구,8.60E+07
서울특별시,마포구,1.21E+08
서울특별시,양천구,3.79E+07
서울특별시,강서구,8.29E+07
서울특별시,구로구,6.54E+07
서울특별시,금천구,2.86E+07
서울특별시,영등포구,1.16E+08
서울특별시,동작구,6.11E+07
서울특별시,관악구,6.29E+07
서울특별시,서초구,1.71E+08
서울특별시,강남구,2.20E+08
서울특별시,송파구,1.26E+08
서울특별시,강동구,5.18E+07
세종특별자치시,세종특별자치시,3.13E+07
울산광역시,중구,2.41E+07
울산광역시,남구,4.53E+07
울산광역시,동구,1.35E+07
울산광역시,북구,2.44E+07
울산광역시,울주군,3.58E+07
인천광역시,중구,1.02E+08
인천광역시,동구,8949308
인천광역시,미추홀구,4.50E+07
인천광역시,연수구,4.85E+07
인천광역시,남동구,5.45E+07
인천광역시,부평구,4.78E+07
인천광역시,계양구,2.99E+07
인천광역시,서구,5.59E+07
인천광역시,강화군,1.69E+07
인천광역시,옹진군,6507232
전라남도,목포시,2.71E+07
전라남도,여수시,2.69E+07
전라남도,순천시,2.57E+07
전라남도,나주시,1.61E+07
전라남도,광양시,1.41E+07
전라남도,담양군,1.58E+07
전라남도,곡성군,5351196
전라남도,구례군,6466649
전라남도,고흥군,6621496
전라남도,보성군,6985545
전라남도,화순군,1.23E+07
전라남도,장흥군,5383088
전라남도,강진군,5775010
전라남도,해남군,9237014
전라남도,영암군,1.04E+07
전라남도,무안군,1.60E+07
전라남도,함평군,5957623
전라남도,영광군,7131128
전라남도,장성군,1.02E+07
전라남도,완도군,6277222
전라남도,진도군,5284006
전라남도,신안군,7578568
전북특별자치도,전주시,7.34E+07
전북특별자치도,군산시,2.56E+07
전북특별자치도,익산시,2.48E+07
전북특별자치도,정읍시,1.12E+07
전북특별자치도,남원시,1.04E+07
전북특별자치도,김제시,1.22E+07
전북특별자치도,완주군,2.30E+07
전북특별자치도,진안군,4794066
전북특별자치도,무주군,8365508
전북특별자치도,장수군,2678179
전북특별자치도,임실군,8875772
전북특별자치도,순창군,4857646
전북특별자치도,고창군,9170812
전북특별자치도,부안군,1.04E+07
제주특별자치도,제주시,5.86E+07
제주특별자치도,서귀포시,4.35E+07
충청남도,천안시,8.17E+07
충청남도,공주시,2.42E+07
충청남도,보령시,1.76E+07
충청남도,아산시,3.85E+07
충청남도,서산시,1.79E+07
충청남도,논산시,1.70E+07
충청남도,계룡시,5217796
충청남도,당진시,2.36E+07
충청남도,금산군,1.01E+07
충청남도,부여군,1.01E+07
충청남도,서천군,1.06E+07
충청남도,청양군,4573898
충청남도,홍성군,1.25E+07
충청남도,예산군,1.50E+07
충청남도,태안군,1.73E+07
충청북도,청주시,1.11E+08
충청북도,충주시,3.08E+07
충청북도,제천시,1.56E+07
충청북도,보은군,8081902
충청북도,옥천군,1.11E+07
충청북도,영동군,6594514
충청북도,증평군,5996168
충청북도,진천군,1.29E+07
충청북도,괴산군,1.14E+07
충청북도,음성군,1.78E+07
충청북도,단양군,9670692
